id,Name,Adress,MOAT SITUATION,OMD,File link,Water  Area (SQM),Map Of Index,x,y
393,,5- Nieuwpoortstraat- Anzegem 8570,Incomplete,X,,1405,Popp Remastered,3.468896909,50.83845769
394,,1- Balthazarstraat- Anzegem 8570,Incomplete,X,,3474,Popp Remastered,3.489314655,50.82910005
396,,3- Krommestraat- Anzegem 8570,Incomplete,X,,3206,Popp Remastered,3.485536633,50.82683298
397,,2- Oudepontstraat- Kaster- Anzegem 8572,Disappeared,X,,11762,Popp Remastered,3.48460034,50.82142684
398,,3- Tweehoeven- Tiegem- Anzegem,Incomplete,X,,10835,Popp Remastered,3.477339967,50.81589554
399,,Goed Te Corbie- 27- Varentstraat- Kaster- Anzegem 8570,Complete,X,,9792,Popp Remastered,3.499186791,50.81296876
400,,1- Bassegemstraat- Kaster- Anzegem 8572,Complete,X,,5026,Popp Remastered,3.486834301,50.81088255
401,,14- Kruisstraat- Kerkhove- Avelgem 8581,Complete,X,,6530,Popp Remastered,3.494078248,50.79856056
402,,2- Walstraat- Kerkhove- Avelgem 8581,Incomplete,X,,4979,Popp Remastered,3.488657607,50.80106259
403,,1- Neerkouter- Waarmaarde- Avelgem 8581,Incomplete,X,,3883,Popp Remastered,3.479935304,50.80055389
404,,Vierschaarstraat- Waarmaarde- Avelgem 8581,Disappeared,X,,3589,Popp Remastered,3.473611223,50.79802069
405,Goed te Bassegem,3- Blauwe Poortstraat- Waarmaarde- Avelgem 8581,Complete,X,,6615,Popp Remastered,3.474646073,50.79084599
406,,Balta Weaving- 205-237- Roterijstraat- Zone 5 Snepbeek- Sint-Eloois-Vijve- Waregem,Disappeared,X,,26285,Popp Remastered,3.401976637,50.89702476
407,,45- Roterijstraat- Wevelgem,Complete,X,/407 - Private House,5498.779595,Popp Remastered,3.183491612,50.81573315
409,Ter Melle,Hanssensdreef- Heule 8501,Incomplete,X,/409 - Ter Melle,2147,Popp Remastered,3.2342452,50.8452267
410,,Kasteelpark- Heule 8501,Incomplete,X,,1790,Popp Remastered,3.2333522,50.8433385
411,De Cransvijver,Donderbaardstraat- Bissegem 8501,Incomplete,X,/411 - De Cransvijver,3258,Popp Remastered,3.2348568,50.8324084
414,Goed te Bassegem,Wouter Schoutstraat- Heule 8501,Incomplete,X,/414 - Goed te Bassegem,1139,Popp Remastered,3.2211426,50.870529
415,Te Callewaerts,Athena campus Heule- 10- Guido Gezellelaan- Heule 8501,Incomplete,X,/415 - Te Callewaerts,1417,Popp Remastered,3.2395171,50.8350415
416,t Rijs,6- Roeselaarstuk- Heule 8501,Disappeared,X,/416 - t Rijs,3880,Popp Remastered,3.2220682,50.8488863
418,Goed ten Ackere,28- Argendaalstraat- Bellegem 8510,Incomplete,X,/418 - Goed ten Ackere,1358,Popp Remastered,3.3000064,50.7739077
